Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format
Leica,90mm f/2 Apo-Summicron-M Aspherical,1998,3515.6,498.3,78.74,63.5,2,90,0,0,0,Full-Frame
Leica,135mm f/3.4 Apo-Telyt-M,1998,3388,453,104.14,5.842,3.4,135,0,0,0,Full-Frame
Leica,Vario-Elmarit-SL 24-90mm f/2.8-4 Asph,2015,4950,1140,138,88,4,24-90,1,1,0,Full-Frame
Leica,Apo-Vario-Elmarit-SL 90-280mm f/2.8-4,2015,6350,1850,238,88,4,90-280,1,1,0,Full-Frame
Leica,Summaron-M 28mm f/5.6,2016,,,,,5.6,28,0,,0,
Mitakon Zhongyi,FreeWalker 24mm f/1.7 ,2014,349,246,55.118,61.468,1.7,24,0,0,0,APS-C
Mitakon Zhongyi,Speedmaster 25mm f/0.95,2015,399,230,44.958,59.944,0.95,25,0,0,0,Micro Four Thirds
Mitakon Zhongyi,FreeWalker 42.5mm f/1.2 ,2014,399,310,52.578,59.944,1.2,42.5,0,0,0,Micro Four Thirds
Nikon,AF-S Nikkor 20mm f/1.8G ED,2014,797,357,78.74,81.28,1.8,20,0,0,0,Full-Frame
Nikon,AF-S Nikkor 24mm f/1.4G ED,2010,1997,620,88.9,83.82,1.4,24,0,0,0,Full-Frame
Nikon,PC-E Nikkor 24mm f/3.5D ED Tilt-Shift,2008,2197,730,107.95,82.55,3.5,24,0,0,0,Full-Frame
Nikon,AF-S Nikkor 28mm f/1.8G,2012,697,330,81.28,73.66,1.8,28,0,0,0,Full-Frame
Nikon,AF-S Nikkor 35mm f/1.8G ED,2014,527,305,71.374,71.882,1.8,35,0,0,0,Full-Frame
Nikon,AF-S Nikkor 35mm f/1.4G,2010,1697,601,89.408,83.058,1.4,35,0,0,0,Full-Frame
Nikon,PC-E Micro-Nikkor 45mm f/2.8D ED Tilt-Shift,2008,2047,740,112.014,82.55,2.8,45,0,0,0,Full-Frame
Nikon,AF-S Nikkor 50mm f/1.8G,2011,217,185,53.34,71.12,1.8,50,0,0,0,Full-Frame
Nikon,AF-S Nikkor 50mm f/1.4G,2008,447,281,53.34,73.66,1.4,50,0,0,0,Full-Frame
Nikon,AF-S Nikkor 58mm f/1.4G,2013,1597,385,70.104,85.09,1.4,58,0,0,0,Full-Frame
Nikon,AF-S Micro-Nikkor 60mm f/2.8G ED Lens,2008,597,425,88.9,73.66,2.8,60,0,0,0,Full-Frame
Nikon,AF-S Nikkor 85mm f/1.8G,2012,497,350,73.66,78.74,1.8,85,0,0,0,Full-Frame
Nikon,AF-S Nikkor 85mm f/1.4G,2010,1597,595,83.82,86.36,1.4,85,0,0,0,Full-Frame
Nikon,PC-E Micro-Nikkor 85mm f/2.8D Tilt-Shift,2008,1977,635,106.934,83.566,2.8,85,0,0,0,Full-Frame
Nikon,AF-S VR Micro-Nikkor 105mm f/2.8G IF-ED,2006,897,720,116.84,83.82,2.8,105,0,1,0,Full-Frame
Nikon,AF-S Nikkor 200mm f/2G ED VR II,2010,5697,2930,203.2,124.46,2,200,0,1,0,Full-Frame
Nikon,AF-S Nikkor 300mm f/4E PF ED VR,2015,1997,755,147.574,88.9,4,300,0,1,0,Full-Frame
Nikon,AF-S Nikkor 300mm f/2.8G ED VR II,2009,5497,2900,266.7,124.46,2.8,300,0,1,0,Full-Frame
Nikon,AF-S Nikkor 400mm f/2.8E FL ED VR,2014,11197,3800,357.886,159.512,2.8,400,0,1,0,Full-Frame
Nikon,AF-S Nikkor 14-24mm f/2.8G ED,2007,1897,1000,132.08,96.52,2.8,14-24,1,0,0,Full-Frame
Nikon,AF-S Nikkor 16-35mm f/4G ED VR,2010,1097,680,124.46,81.28,4,16-35,1,1,0,Full-Frame
Nikon,AF-S Nikkor 18-35mm f/3.5-4.5G ED,2013,747,385,94.996,83.058,4.5,18-35,1,0,0,Full-Frame
Nikon,AF-S Nikkor 200-500mm f/5.6E ED VR,2015,1397,2090,267.462,107.95,5.6,200-500,1,1,0,Full-Frame
Nikon,AF-S Nikkor 24-120mm f/4G ED VR,2010,1097,710,104.14,83.82,4,24-120,1,1,0,Full-Frame
Nikon,AF-S Nikkor 24-70mm f/2.8G ED,2007,1797,900,132.08,83.82,2.8,24-70,1,0,0,Full-Frame
Nikon,AF-S Nikkor 24-70mm f/2.8G ED VR,2015,2397,1070,154.432,87.884,2.8,24-70,1,1,0,Full-Frame
Nikon,AF-S Nikkor 24-85mm f/3.5-4.5G ED VR,2012,497,465,81.28,78.74,4.5,24-85,1,1,0,Full-Frame
Nikon,AF-S Nikkor 28-300mm f/3.5-5.6G ED VR,2010,947,800,114.3,82.804,5.6,28-300,1,1,0,Full-Frame
Nikon,AF-S Nikkor 70-200mm f/2.8G ED VR II,2009,2097,1540,205.74,86.36,2.8,70-200,1,1,0,Full-Frame
Nikon,AF-S Nikkor 70-200mm f/4G ED VR,2012,1397,850,177.8,78.74,4,70-200,1,1,0,Full-Frame
Nikon,AF-S VR Zoom-Nikkor 70-300mm f/4.5-5.6G IF-ED,2006,497,745,142.24,78.74,5.6,70-300,1,1,0,Full-Frame
Nikon,AF-S Nikkor 80-400mm f/4.5-5.6G ED VR,2013,2297,1570,203.2,96.52,5.6,80-400,1,1,0,Full-Frame
Nikon,AF-S Nikkor 35mm f/1.8G ED DX,2009,200,210,52.5,70,1.8,35,0,0,0,Crop
Nikon,PC-E Nikkor 19mm f/4E ED Tilt-Shift,2016,3397,885,124,89,4,19,0,0,0,Full-Frame
Nikon,AF-S Nikkor 70-200mm f/2.8E FL ED VR,2016,2797,1430,202.5,88.5,2.8,70-200,1,1,0,Full-Frame
Nikon,AF-P DX Nikkor 70-300mm f/4.5-6.3G ED VR,2016,397,415,125,72,4.5,70-300,1,1,0,APS-C
Nikon,AF-S Nikkor 105mm f/1.4E ED,2016,2197,985,106,94.5,1.4,105,0,0,0,Full-Frame
Nikon ,AF-P DX Nikkor 18-55mm f/3.5-5.6G,2016,197,195,62.5,64.5,3.5,18-55,1,0,0,APS-C
Nikon ,AF-P DX Nikkor 70-300mm f/4.5-6.3G ED,2016,347,400,125,72,4.5,70-300,1,0,0,APS-C
Nikon ,AF-P DX Nikkor 18-55mm f/3.5-5.6G VR,2016,247,205,62.5,64.5,3.5,18-55,1,1,0,APS-C
Olympus,M.Zuiko Digital ED 30mm f/3.5 Macro,2016,299,128,60,57,3.5,30,0,0,0,Micro Four Thirds
Olympus,M.Zuiko Digital ED 25mm f/1.2 PRO,2016,1199,410,87,70,1.2,25,0,0,0,Micro Four Thirds
Olympus,M.Zuiko Digital ED 12-100mm f/4 IS PRO,2016,1299,561,116.5,77.5,4,12-100,1,1,0,Micro Four Thirds
Rokinon,14mm f/2.8 IF ED UMC,2009,299,552,96.012,87.122,2.8,14,0,0,0,Full-Frame
Rokinon,Xeen 14mm T/3.1,2016,2145,1170,88.3,117.6,2.8,14,0,0,1,Full-Frame
Rokinon,24mm f/1.4 ED AS UMC,2011,549,634.2,97.536,83.058,1.4,24,0,0,0,Full-Frame
Rokinon,Xeen 24mm T/1.5,2015,2145,1180,121.7,117.6,1.4,24,0,0,1,Full-Frame
Rokinon,35mm f/1.4 AS UMC,2010,407,710,111.506,83.058,1.4,35,0,0,0,Full-Frame
Rokinon,Xeen 35mm T/1.5,2016,2145,1375,121.7,117.6,1.4,35,0,0,1,Full-Frame
Rokinon,50mm f/1.4 AS IF UMC,2014,399,536,73.66,81.28,1.4,50,0,0,0,Full-Frame
Rokinon,Xeen 50mm T/1.5,2015,2145,1160,121.7,117.6,1.4,50,0,0,1,Full-Frame
Rokinon,85mm f/1.4 AS IF UMC,2009,267,540,74.676,77.978,1.4,85,0,0,0,Full-Frame
Rokinon,Xeen 85mm T/1.5,2015,2145,1245,121.7,117.6,1.4,85,0,0,1,Full-Frame
